client_id,algorithm,model_id,image_number,signal_gain,image_file,iters,erro_final,converg,tempo_inicio,tempo_final,reconstruction_time
25,CGNR,30x30,1,0.9512,reconstructed_client25_CGNR_img1.png,2,6.718223448842764e-05,True,2026-05-29T17:47:47.163,2026-05-29T17:47:47.196,0.03337412499968195
26,CGNE,30x30,3,0.8744,reconstructed_client26_CGNE_img3.png,10,286333088.0,False,2026-05-29T17:47:52.726,2026-05-29T17:47:52.915,0.18971224999995684
26,CGNR,30x30,3,0.8744,reconstructed_client26_CGNR_img3.png,10,5528422.0,False,2026-05-29T17:47:50.775,2026-05-29T17:47:51.247,0.47171937500024796
27,CGNE,30x30,2,0.5211,reconstructed_client27_CGNE_img2.png,1,9.308875451097265e-05,True,2026-05-29T17:48:12.420,2026-05-29T17:48:12.616,0.19572512500008088
27,CGNR,30x30,2,0.5211,reconstructed_client27_CGNR_img2.png,1,8.333829464390874e-05,True,2026-05-29T17:48:10.048,2026-05-29T17:48:10.250,0.20272554200028026
28,CGNE,30x30,3,1.2522,reconstructed_client28_CGNE_img3.png,10,410046304.0,False,2026-05-29T17:48:02.618,2026-05-29T17:48:03.267,0.6485520000001088
28,CGNR,30x30,3,1.2522,reconstructed_client28_CGNR_img3.png,10,7917074.5,False,2026-05-29T17:48:01.687,2026-05-29T17:48:02.195,0.5087886249998519
29,CGNE,60x60,4,1.152,reconstructed_client29_CGNE_img4.png,8,7.725838804617524e-05,True,2026-05-29T17:48:06.500,2026-05-29T17:48:08.163,1.663233499999933
29,CGNR,60x60,4,1.152,reconstructed_client29_CGNR_img4.png,4,9.378377581015229e-05,True,2026-05-29T17:48:08.570,2026-05-29T17:48:09.595,1.0250479999999698
30,CGNE,60x60,4,0.9136,reconstructed_client30_CGNE_img4.png,5,9.694705659057945e-05,True,2026-05-29T17:48:12.976,2026-05-29T17:48:14.156,1.1799188750001122
30,CGNR,60x60,4,0.9136,reconstructed_client30_CGNR_img4.png,4,7.437571184709668e-05,True,2026-05-29T17:48:10.447,2026-05-29T17:48:11.406,0.9590957499999604
31,CGNE,60x60,6,1.4926,reconstructed_client31_CGNE_img6.png,10,1305897.5,False,2026-05-29T17:47:56.843,2026-05-29T17:47:58.889,2.045640791999631
